id,component_id,plan_view_type,plan_view_data,plan_view_svg,elevation_type,elevation_data,elevation_svg_front,elevation_svg_back,side_elevation_type,side_elevation_data,elevation_svg_left,elevation_svg_right,fill_color,stroke_color,stroke_width,created_at,updated_at,created_by
013fd434-e3be-4a28-92a9-9e073c3e11c7,freezer-chest-90,rectangle,{},,appliance,"{""has_handle"": true, ""has_display"": false, ""panel_style"": ""integrated""}",,,appliance,"{""has_handle"": true, ""has_display"": false, ""panel_style"": ""integrated""}",,,#808080,#000000,1,2025-10-09 20:58:26.25098+00,2025-10-09 20:58:26.25098+00,
023ef560-80d7-4e57-b7bd-043c2598fec0,pan-drawers-40,rectangle,{},,standard-cabinet,"{""door_count"": 1, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,standard-cabinet,"{""door_count"": 1, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,#8b4513,#000000,1,2025-10-09 20:58:26.334286+00,2025-10-09 20:58:26.334286+00,
03de4bfe-b9ce-4a86-a63c-3c7deb2a29fc,end-panel-wall,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,#8b4513,#000000,1,2025-10-09 20:58:26.25098+00,2025-10-09 20:58:26.25098+00,
05523d56-f6ec-4e0d-ad59-ff7fb7972a42,wall-cabinet-30,rectangle,{},,standard-cabinet,"{""door_count"": 1, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,standard-cabinet,"{""door_count"": 1, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,#8b4513,#000000,1,2025-10-09 20:58:26.428127+00,2025-10-09 20:58:26.428127+00,
05c64b8d-88f1-4c91-a6c8-bf77fd316ea1,shoe-cabinet-100,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,#8b4513,#000000,1,2025-10-09 20:58:26.334286+00,2025-10-09 20:58:26.334286+00,
06c303f9-22b8-4844-8a6b-2246c9abd328,cornice-100,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,#8b4513,#000000,1,2025-10-09 20:58:26.075367+00,2025-10-09 20:58:26.075367+00,
06f997ee-cd0e-46d9-8957-f286985c42fd,butler-sink-draining-board-80,sink-single,"{""has_drain"": true, ""bowl_style"": ""ceramic"", ""has_faucet_hole"": true, ""bowl_depth_ratio"": 0.8, ""bowl_inset_ratio"": 0.15, ""has_draining_board"": true, ""faucet_hole_position"": 0.2}",,sink,"{""panel_style"": ""under-mount"", ""panel_height"": 10, ""has_front_panel"": false}",,,sink,"{""panel_style"": ""under-mount"", ""panel_height"": 10, ""has_front_panel"": false}",,,#FFFFFF,#000000,1,2025-10-09 20:58:26.075367+00,2025-10-09 20:58:26.075367+00,
096d0876-8408-4033-a1f6-0c9be057fd5b,reading-chair-70,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,#8b4513,#000000,1,2025-10-09 20:58:26.334286+00,2025-10-09 20:58:26.334286+00,
0afcc82b-297f-42f5-bc7c-f483593a5374,larder-built-in-fridge,rectangle,{},,appliance,"{""has_handle"": true, ""has_display"": true, ""panel_style"": ""integrated""}",,,appliance,"{""has_handle"": true, ""has_display"": true, ""panel_style"": ""integrated""}",,,#808080,#000000,1,2025-10-09 20:58:26.334286+00,2025-10-09 20:58:26.334286+00,
0b62a461-8f7c-4ac9-83c9-c0be24cc50b2,door-patio-single-90,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,#8b4513,#000000,1,2025-10-09 20:58:26.25098+00,2025-10-09 20:58:26.25098+00,
0d1872b2-11dd-4761-9ecc-9360552c2d35,island-unit-80,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,#8b4513,#000000,1,2025-10-09 20:58:26.25098+00,2025-10-09 20:58:26.25098+00,
0dca64f6-c781-44ec-82a0-b1f975fee715,utility-worktop-120,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,#8b4513,#000000,1,2025-10-09 20:58:26.428127+00,2025-10-09 20:58:26.428127+00,
10e719df-f7a3-44c4-b535-9de483d84be7,kitchen-sink-corner-90,corner-square,{},,sink,"{""panel_style"": ""under-mount"", ""panel_height"": 10, ""has_front_panel"": false}",,,sink,"{""panel_style"": ""under-mount"", ""panel_height"": 10, ""has_front_panel"": false}",,,#C0C0C0,#000000,1,2025-10-09 20:58:26.25098+00,2025-10-09 20:58:26.25098+00,
141b6355-aebc-46ef-9442-1c2d1050d6a0,window-single-60,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": false, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 0}",,,#8b4513,#000000,1,2025-10-09 20:58:26.428127+00,2025-10-09 20:58:26.428127+00,
1497e7d2-fc44-4a82-ae3f-73523d45eb56,pedestal-3drawer,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,#8b4513,#000000,1,2025-10-09 20:58:26.334286+00,2025-10-09 20:58:26.334286+00,
1740de77-92f6-4c55-84fc-acdfbd615eb5,tv-unit-160,rectangle,{},,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,standard-cabinet,"{""door_count"": 2, ""door_style"": ""flat"", ""drawer_count"": 0, ""handle_style"": ""bar"", ""has_toe_kick"": true, ""drawer_heights"": [], ""handle_position"": ""center"", ""toe_kick_height"": 10}",,,#8b4513,#000000,1,2025-10-09 20:58:26.428127+00,2025-10-09 20:58:26.428127+00,
