id,model_id,part_name,part_type,render_order,position_x,position_y,position_z,dimension_width,dimension_height,dimension_depth,material_name,color_override,metalness,roughness,opacity,render_condition,created_at
00552c34-a89e-4703-8440-b7324f14d33d,6a45d0f6-5116-409a-8ab9-aacebd466a31,Plinth Z-leg,box,3,cornerDepth / 2 - legLength / 2 - 0.1,-height / 2 + plinthHeight / 2,0,cornerDepth - 0.2,plinthHeight,legLength,plinth,plinthColor,,,1.00,!isWallCabinet,2025-10-08 11:23:36.663103+00
0077931c-99c8-4534-9837-b75e5499a87a,9e134812-df5a-4e10-9c04-70f35f30f798,Left Drawer,box,2,-width/3,0,depth/2 + 0.01,width/3 - 0.05,height * 0.6,0.02,door,doorColor,,,1.00,,2025-10-08 16:52:17.357255+00
00ceb071-84a9-4ab0-8695-7d518efde4fa,43b45e50-439e-4647-b320-7b0d2d51d311,Back,box,2,0,height / 3,-depth / 2 + 0.05,width,height * 0.8,0.1,fabric,cabinetMaterial,,,1.00,,2025-10-08 20:13:16.422946+00
00de436f-7d58-4c12-9465-64da2e5330f9,40a9b4a4-3446-45e2-a064-20563fd65872,Tap,box,3,-width/4,height + 0.10,-depth/4,0.03,0.15,0.03,handle,#808080,,,1.00,,2025-10-08 17:10:09.489775+00
0133ce86-54a5-4fd1-a442-406f87cabb76,0f4e7a93-13e8-4c11-9c86-0cc9043649a6,Drawer 1,box,3,0,-0.15,depth / 2 + 0.01,width - 0.02,0.20,0.02,door,doorColor,,,1.00,,2025-10-08 16:21:41.621901+00
020314ec-f863-4d77-941f-4be7d69f55a6,a8b66209-ccef-4e44-a761-df5f37ac640b,Cabinet X-leg,box,1,0,0,cornerDepth / 2 - legLength / 2,legLength,height,cornerDepth,cabinet,cabinetMaterial,,,1.00,,2025-10-08 11:23:36.663103+00
02519065-2a5c-4e5b-a932-f818dc846f60,ded98e7f-d2c7-42e7-b47f-87bc4a9cfa87,Back,box,2,0,height * 0.25,-depth * 0.2,width,height * 0.6,depth * 0.2,cabinet_body,#000000,,,1.00,,2025-10-08 16:52:06.676597+00
02ba6d9d-50b7-4617-bba1-a5f410f81d50,9e134812-df5a-4e10-9c04-70f35f30f798,Right Drawer,box,3,width/3,0,depth/2 + 0.01,width/3 - 0.05,height * 0.6,0.02,door,doorColor,,,1.00,,2025-10-08 16:52:17.357255+00
02ca9ed1-2ee9-4fcf-9a3e-501168711923,f8ac534e-6911-477b-bbf3-5c66afa03ed8,Plinth,box,1,0,-height / 2 + plinthHeight / 2,0,width,plinthHeight,depth - 0.05,plinth,plinthColor,,,1.00,!isWallCabinet,2025-10-08 15:51:04.652333+00
03bc8fd8-7c7f-4217-b4b0-404f4a3e3888,b1ac7b87-a11a-4b84-b26f-61eca93692c6,Main Top,box,1,0,height/2 - 0.02,0,width,0.04,0.70,cabinet_body,#8B4513,,,1.00,,2025-10-08 16:52:06.676597+00
03c8eb73-3d42-47ed-8bff-fd1b0063645a,ca8750ee-44bd-463f-b2e1-cd1ae406fdab,Lower Cabinet,box,1,0,-height * 0.3,0,width,height * 0.4,depth,cabinet_body,#8B4513,,,1.00,,2025-10-08 16:52:38.215415+00
0499b4d6-883b-4c98-9b5e-da58c5c089ea,ded98e7f-d2c7-42e7-b47f-87bc4a9cfa87,Seat,box,1,0,-height * 0.15,0,width,height * 0.15,depth,cabinet_body,#000000,,,1.00,,2025-10-08 16:52:06.676597+00
06dd7f6f-b9a0-4dfb-83ca-d99f56f4b4d8,b1d275f7-078c-4c24-b657-1d8093504ce3,Basin,box,1,0,0,0,width - 0.10,height,depth - 0.10,handle,#FFFFFF,,,1.00,,2025-10-08 17:10:09.489775+00
072fe3b8-1942-472d-8728-13219485a1dd,9b93fa5d-fde1-4330-8f1d-84ecb01e0607,Faucet,cylinder,4,-width / 3,height / 2 - 0.15,-depth / 2 + 0.1,0.05,0.15,0.05,chrome,#c0c0c0,,,1.00,,2025-10-08 20:21:21.129584+00
