name,number,product_url,thumb_url,hover_url,description
Acid Drop,9908,https://www.farrow-ball.com/paint/acid-drop,https://www.farrow-ball.com/media/catalog/product/a/c/acid_drop_no._9908_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/a/c/acid_drop_no._9908_-_swirl.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Acid Drop is a vibrant lime green paint colour and as its name suggests, is a bright and energetic citrus shade. Available in-store and online."
All White,2005,https://www.farrow-ball.com/paint/all-white,https://www.farrow-ball.com/media/catalog/product/a/l/all_white_no._2005_-_swirl_1.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_allwhite2005_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","All White unusually contains no other pigment except for white, creating the softest most sympathetic colour. Available in-store and online."
Ammonite,274,https://www.farrow-ball.com/paint/ammonite,https://www.farrow-ball.com/media/catalog/product/a/m/ammonite_no._274_-_swirl_1.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_ammonite274_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Ammonite is neither too warm nor too cool, its subtle grey tone creates a hushed and calming feel in homes both old and new. Available in-store and online."
Ancona Blue,9805,https://www.farrow-ball.com/paint/ancona-blue,https://www.farrow-ball.com/media/catalog/product/a/n/ancona_blue_no._9805_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/a/n/ancona_blue_no._9805_-_swirl.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Ancona is the Farrow & Ball interpretation of duck-egg blue, inspired by the delicately coloured eggs of the Ancona duck. Available in-store and online."
Archive,227,https://www.farrow-ball.com/paint/archive,https://www.farrow-ball.com/media/catalog/product/a/r/archive_no._227_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_archive227_hover_1.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Archive is perceived by many as a classic taupe paint colour, and creates a rich glow in any room of the house. Available in-store and online."
Arsenic,214,https://www.farrow-ball.com/paint/arsenic,https://www.farrow-ball.com/media/catalog/product/a/r/arsenic_no._214_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_arsenic214_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Arsenic has a lively, stimulating feel and it's vivid mint colour makes it feel at home on contemporary kitchen cabinets. Available in-store and online."
Ash Grey,,https://www.farrow-ball.com/paint/ash-grey,https://www.farrow-ball.com/media/catalog/product/a/s/ash_grey_no._w9_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_ashgreyw9_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Ash Grey has a relaxed feel that makes it suited to any space, particularly when combined with a warmer white on woodwork. Available in-store and online."
Au Lait,,https://www.farrow-ball.com/paint/au-lait,https://www.farrow-ball.com/media/catalog/product/a/u/au_lait_no._cb9_-_swirl_1.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_aulaitcb9_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Au Lait is a soft white inspired by the chicory coffee popular in New Orleans, often served with milk. Exclusively available for the Carte Blanche collection."
Babouche,223,https://www.farrow-ball.com/paint/babouche,https://www.farrow-ball.com/media/catalog/product/b/a/babouche_no._223_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_babouche223_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Babouche takes its exotic name from the distinctive colour of the leather slippers worn by people in Morocco. Available in-store and online.
Ball Green,75,https://www.farrow-ball.com/paint/ball-green,https://www.farrow-ball.com/media/catalog/product/b/a/ball_green_no._75_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_ballgreen75_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Ball Green is a tribute to Richard Ball, the paint pioneer who first founded our company in Dorset, England with John Farrow. Available in-store and online"
