unique_id,Decor_ID,Decor_Ref_Code,Price group,Group,structure,décor,price_18mm
ST2-W980,W980 ST2,W980_ST2_,2,2,ST2,W980,55.35
ST7-W980,W980 ST7,W980_ST7_,2,2,ST7,W980,55.35
SM-W980,W980 SM,W980_SM_,2,2,SM,W980,55.35
ST9-U104,U104 ST9,U104_ST9_,3,3,ST9,U104,55.55
ST9-U156,U156 ST9,U156_ST9_,3,3,ST9,U156,55.55
ST9-U216,U216 ST9,U216_ST9_,3,3,ST9,U216,55.55
ST9-U222,U222 ST9,U222_ST9_,3,3,ST9,U222,55.55
ST9-U707,U707 ST9,U707_ST9_,3,3,ST9,U707,55.55
ST9-U708,U708 ST9,U708_ST9_,3,3,ST9,U708,55.55
ST9-U732,U732 ST9,U732_ST9_,3,3,ST9,U732,55.55
ST9-U765,U765 ST9,U765_ST9_,3,3,ST9,U765,55.55
ST2-U961,U961 ST2,U961_ST2_,3,3,ST2,U961,55.55
ST2-U999,U999 ST2,U999_ST2_,3,3,ST2,U999,55.55
ST7-U961,U961 ST7,U961_ST7_,3,3,ST7,U961,55.55
ST7-U999,U999 ST7,U999_ST7_,3,3,ST7,U999,55.55
ST9-W1000,W1000 ST9,W1000_ST9_,4,4,ST9,W1000,59.95
ST9-W1100,W1100 ST9,W1100_ST9_,4,4,ST9,W1100,59.95
ST9-W1200,W1200 ST9,W1200_ST9_,4,4,ST9,W1200,59.95
ST9-U100,U100 ST9,U100_ST9_,4,4,ST9,U100,59.95
ST9-U115,U115 ST9,U115_ST9_,4,4,ST9,U115,59.95
ST9-U201,U201 ST9,U201_ST9_,4,4,ST9,U201,59.95
ST9-U211,U211 ST9,U211_ST9_,4,4,ST9,U211,59.95
ST9-U335,U335 ST9,U335_ST9_,4,4,ST9,U335,59.95
ST9-U502,U502 ST9,U502_ST9_,4,4,ST9,U502,59.95
ST9-U540,U540 ST9,U540_ST9_,4,4,ST9,U540,59.95
ST9-U599,U599 ST9,U599_ST9_,4,4,ST9,U599,59.95
ST9-U604,U604 ST9,U604_ST9_,4,4,ST9,U604,59.95
ST9-U636,U636 ST9,U636_ST9_,4,4,ST9,U636,59.95
ST9-U638,U638 ST9,U638_ST9_,4,4,ST9,U638,59.95
ST9-U699,U699 ST9,U699_ST9_,4,4,ST9,U699,59.95
ST9-U702,U702 ST9,U702_ST9_,4,4,ST9,U702,59.95
ST9-U705,U705 ST9,U705_ST9_,4,4,ST9,U705,59.95
ST9-U717,U717 ST9,U717_ST9_,4,4,ST9,U717,59.95
ST9-U727,U727 ST9,U727_ST9_,4,4,ST9,U727,59.95
ST9-U740,U740 ST9,U740_ST9_,4,4,ST9,U740,59.95
ST9-U741,U741 ST9,U741_ST9_,4,4,ST9,U741,59.95
ST9-U748,U748 ST9,U748_ST9_,4,4,ST9,U748,59.95
ST9-U750,U750 ST9,U750_ST9_,4,4,ST9,U750,59.95
ST9-U763,U763 ST9,U763_ST9_,4,4,ST9,U763,59.95
ST9-U767,U767 ST9,U767_ST9_,4,4,ST9,U767,59.95
ST9-U775,U775 ST9,U775_ST9_,4,4,ST9,U775,59.95
ST9-U780,U780 ST9,U780_ST9_,4,4,ST9,U780,59.95
ST9-U788,U788 ST9,U788_ST9_,4,4,ST9,U788,59.95
ST9-U899,U899 ST9,U899_ST9_,4,4,ST9,U899,59.95
ST9-U960,U960 ST9,U960_ST9_,4,4,ST9,U960,59.95
ST9-U963,U963 ST9,U963_ST9_,4,4,ST9,U963,59.95
ST9-U968,U968 ST9,U968_ST9_,4,4,ST9,U968,59.95
ST12-U201,U201 ST12,U201_ST12_,4,4,ST12,U201,59.95
ST12-U502,U502 ST12,U502_ST12_,4,4,ST12,U502,59.95
ST12-U599,U599 ST12,U599_ST12_,4,4,ST12,U599,59.95
ST12-U604,U604 ST12,U604_ST12_,4,4,ST12,U604,59.95
ST12-U638,U638 ST12,U638_ST12_,4,4,ST12,U638,59.95
ST12-U699,U699 ST12,U699_ST12_,4,4,ST12,U699,59.95
ST12-U702,U702 ST12,U702_ST12_,4,4,ST12,U702,59.95
ST12-U708,U708 ST12,U708_ST12_,4,4,ST12,U708,59.95
ST12-U727,U727 ST12,U727_ST12_,4,4,ST12,U727,59.95
ST12-U732,U732 ST12,U732_ST12_,4,4,ST12,U732,59.95
ST12-U767,U767 ST12,U767_ST12_,4,4,ST12,U767,59.95
ST12-U780,U780 ST12,U780_ST12_,4,4,ST12,U780,59.95
ST12-U961,U961 ST12,U961_ST12_,4,4,ST12,U961,59.95
ST12-U999,U999 ST12,U999_ST12_,4,4,ST12,U999,59.95
ST12-W980,W980 ST12,W980_ST12_,4,4,ST12,W980,59.95
ST12-W1000,W1000 ST12,W1000_ST12_,4,4,ST12,W1000,59.95
ST12-W1200,W1200 ST12,W1200_ST12_,4,4,ST12,W1200,59.95
ST9-H1334,H1334 ST9,H1334_ST9_,4.5,UK Ind,ST9,H1334,67.65
ST9-H3382,H3382 ST9,H3382_ST9_,4.5,UK Ind,ST9,H3382,67.65
