decor_id,decor_name,decor,texture,product_page_url,image_url,FileType
F032 ST78,Grey Cascia Granite ,F032,ST78,https://www.egger.com/en/furniture-interior-design/decors/F032_78,https://cdn.egger.com/img/pim/8854503522334/8860179103774/AR_16_9.webp?width=1024&srcext=png,webp
F032 ST78,Grey Cascia Granite ,F032,ST78,https://www.egger.com/en/furniture-interior-design/decors/F032_78,https://cdn.egger.com/img/pim/8854503653406/8860179202078/AR_16_9.webp?width=1024&srcext=png,webp
F052 ST75,Calais Travertine  ,F052,ST75,https://www.egger.com/en/furniture-interior-design/decors/F052_75,https://cdn.egger.com/img/pim/8854504013854/8860179791902/AR_16_9.webp?width=1024&srcext=png,webp
F052 ST75,Calais Travertine  ,F052,ST75,https://www.egger.com/en/furniture-interior-design/decors/F052_75,https://cdn.egger.com/img/pim/8854504144926/8860179890206/AR_16_9.webp?width=1024&srcext=png,webp
F074 ST75,Light Grey Valmasino Marble,F074,ST75,https://www.egger.com/en/furniture-interior-design/decors/F074_75,https://cdn.egger.com/img/pim/8854319169566/8860180086814/AR_16_9.webp?width=1024&srcext=png,webp
F074 ST75,Light Grey Valmasino Marble,F074,ST75,https://www.egger.com/en/furniture-interior-design/decors/F074_75,https://cdn.egger.com/img/pim/8854319300638/8860180185118/AR_16_9.webp?width=1024&srcext=png,webp
F076 ST75,Grey Braganza Granite ,F076,ST75,https://www.egger.com/en/furniture-interior-design/decors/F076_75,https://cdn.egger.com/img/pim/8854319562782/8860180381726/AR_16_9.webp?width=1024&srcext=png,webp
F076 ST75,Grey Braganza Granite ,F076,ST75,https://www.egger.com/en/furniture-interior-design/decors/F076_75,https://cdn.egger.com/img/pim/8854319693854/8860180480030/AR_16_9.webp?width=1024&srcext=png,webp
F121 ST87,Anthracite Metal Rock ,F121,ST87,https://www.egger.com/en/furniture-interior-design/decors/F121_87,https://cdn.egger.com/img/pim/8854323888158/8854505390110/AR_16_9.webp?width=1024&srcext=png,webp
F121 ST87,Anthracite Metal Rock ,F121,ST87,https://www.egger.com/en/furniture-interior-design/decors/F121_87,https://cdn.egger.com/img/pim/8854324019230/8854505422878/AR_16_9.webp?width=1024&srcext=png,webp
F121 ST87,Anthracite Metal Rock ,F121,ST87,https://www.egger.com/en/furniture-interior-design/decors/F121_87,https://cdn.egger.com/img/pim/8855066869790/8855066902558/AR_16_9.webp?width=1024&srcext=png,webp
F186 ST9,Light Grey Chicago Concrete,F186,ST9,https://www.egger.com/en/furniture-interior-design/decors/F186_9,https://cdn.egger.com/img/pim/8854324674590/8854505488414/AR_16_9.webp?width=1024&srcext=png,webp
F186 ST9,Light Grey Chicago Concrete,F186,ST9,https://www.egger.com/en/furniture-interior-design/decors/F186_9,https://cdn.egger.com/img/pim/8854324805662/8854505521182/AR_16_9.webp?width=1024&srcext=png,webp
F186 ST9,Light Grey Chicago Concrete,F186,ST9,https://www.egger.com/en/furniture-interior-design/decors/F186_9,https://cdn.egger.com/img/pim/8855066935326/8855066968094/AR_16_9.webp?width=1024&srcext=png,webp
F187 ST9,Dark Grey Chicago Concrete,F187,ST9,https://www.egger.com/en/furniture-interior-design/decors/F187_9,https://cdn.egger.com/img/pim/8854325067806/8854505783326/AR_16_9.webp?width=1024&srcext=png,webp
F187 ST9,Dark Grey Chicago Concrete,F187,ST9,https://www.egger.com/en/furniture-interior-design/decors/F187_9,https://cdn.egger.com/img/pim/8854325198878/8854505816094/AR_16_9.webp?width=1024&srcext=png,webp
F206 ST9,Black Pietra Grigia ,F206,ST9,https://www.egger.com/en/furniture-interior-design/decors/F206_9,https://cdn.egger.com/img/pim/8854326640670/8854505979934/AR_16_9.webp?width=1024&srcext=png,webp
F206 ST9,Black Pietra Grigia ,F206,ST9,https://www.egger.com/en/furniture-interior-design/decors/F206_9,https://cdn.egger.com/img/pim/8854326771742/8854506012702/AR_16_9.webp?width=1024&srcext=png,webp
F226 ST78,Sand Beige Titanite ,F226,ST78,https://www.egger.com/en/furniture-interior-design/decors/F226_78,https://cdn.egger.com/img/pim/8854507290654/8854507323422/AR_16_9.webp?width=1024&srcext=png,webp
H3146 ST19,Beige Grey Lorenzo Oak,H3146,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3146_19,https://cdn.egger.com/img/pim/8854323888158/8854505390110/AR_16_9.webp?width=1024&srcext=png,webp
H3146 ST19,Beige Grey Lorenzo Oak,H3146,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3146_19,https://cdn.egger.com/img/pim/8854324019230/8854505422878/AR_16_9.webp?width=1024&srcext=png,webp
H3146 ST19,Beige Grey Lorenzo Oak,H3146,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3146_19,https://cdn.egger.com/img/pim/8855066869790/8855066902558/AR_16_9.webp?width=1024&srcext=png,webp
H3147 ST19,Light Beige Lorenzo Oak,H3147,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3147_19,https://cdn.egger.com/img/pim/8854324674590/8854505488414/AR_16_9.webp?width=1024&srcext=png,webp
H3147 ST19,Light Beige Lorenzo Oak,H3147,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3147_19,https://cdn.egger.com/img/pim/8854324805662/8854505521182/AR_16_9.webp?width=1024&srcext=png,webp
H3147 ST19,Light Beige Lorenzo Oak,H3147,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3147_19,https://cdn.egger.com/img/pim/8855066935326/8855066968094/AR_16_9.webp?width=1024&srcext=png,webp
H3148 ST19,Medium Beige Lorenzo Oak,H3148,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3148_19,https://cdn.egger.com/img/pim/8854325067806/8854505783326/AR_16_9.webp?width=1024&srcext=png,webp
H3148 ST19,Medium Beige Lorenzo Oak,H3148,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3148_19,https://cdn.egger.com/img/pim/8854325198878/8854505816094/AR_16_9.webp?width=1024&srcext=png,webp
H3149 ST19,Dark Beige Lorenzo Oak,H3149,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3149_19,https://cdn.egger.com/img/pim/8854326640670/8854505979934/AR_16_9.webp?width=1024&srcext=png,webp
H3149 ST19,Dark Beige Lorenzo Oak,H3149,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3149_19,https://cdn.egger.com/img/pim/8854326771742/8854506012702/AR_16_9.webp?width=1024&srcext=png,webp
H3150 ST19,Beige Brown Lorenzo Oak,H3150,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3150_19,https://cdn.egger.com/img/pim/8854507290654/8854507323422/AR_16_9.webp?width=1024&srcext=png,webp
H3151 ST19,Light Brown Lorenzo Oak,H3151,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3151_19,https://cdn.egger.com/img/pim/8854319169566/8860180086814/AR_16_9.webp?width=1024&srcext=png,webp
H3151 ST19,Light Brown Lorenzo Oak,H3151,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3151_19,https://cdn.egger.com/img/pim/8854319300638/8860180185118/AR_16_9.webp?width=1024&srcext=png,webp
H3152 ST19,Medium Brown Lorenzo Oak,H3152,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3152_19,https://cdn.egger.com/img/pim/8854319562782/8860180381726/AR_16_9.webp?width=1024&srcext=png,webp
H3152 ST19,Medium Brown Lorenzo Oak,H3152,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3152_19,https://cdn.egger.com/img/pim/8854319693854/8860180480030/AR_16_9.webp?width=1024&srcext=png,webp
